epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,9815.32,0.37268,0.33338,1.13293,0.9442,0.94759,0.96671,0.76843,0.71679,0.39081,1.39433,0.000275668,0.000275668,0.000275668
100,10278.4,0.37489,0.33522,1.13776,0.94447,0.94839,0.96628,0.77052,0.71613,0.38849,1.39586,0.000266532,0.000266532,0.000266532
101,10744.2,0.3797,0.33843,1.14206,0.94588,0.94678,0.9661,0.76883,0.71648,0.38642,1.39545,0.0002575,0.0002575,0.0002575
102,11210.5,0.37982,0.33888,1.13833,0.94728,0.94635,0.96694,0.77026,0.71653,0.38524,1.39377,0.000248577,0.000248577,0.000248577
103,11674.8,0.37444,0.33382,1.13865,0.94619,0.94675,0.96607,0.76987,0.71755,0.38429,1.39416,0.000239766,0.000239766,0.000239766
104,12142.5,0.37382,0.33167,1.13545,0.94564,0.94759,0.96616,0.77167,0.71556,0.38424,1.39319,0.000231071,0.000231071,0.000231071
105,12609.6,0.37427,0.33012,1.13647,0.9424,0.94841,0.96576,0.77082,0.7138,0.38342,1.39273,0.000222497,0.000222497,0.000222497
106,13077.2,0.38431,0.34282,1.14434,0.94206,0.94758,0.96588,0.77119,0.71224,0.3829,1.39036,0.000214046,0.000214046,0.000214046
107,13543.8,0.37417,0.33298,1.13905,0.93486,0.95488,0.96576,0.7703,0.71178,0.3832,1.38933,0.000205723,0.000205723,0.000205723
108,14013.6,0.37241,0.32957,1.12879,0.93568,0.95584,0.96611,0.77071,0.71098,0.38211,1.3894,0.000197532,0.000197532,0.000197532
109,14479.5,0.37323,0.34322,1.13314,0.93475,0.95533,0.96642,0.77005,0.71135,0.38257,1.38969,0.000189475,0.000189475,0.000189475
110,14948.8,0.37581,0.33216,1.13855,0.9361,0.95536,0.96601,0.76908,0.71291,0.3828,1.39116,0.000181557,0.000181557,0.000181557
111,15417.2,0.37138,0.33217,1.13061,0.93619,0.955,0.96605,0.76883,0.71476,0.38175,1.39303,0.00017378,0.00017378,0.00017378
112,15884.1,0.36773,0.33405,1.12701,0.93291,0.95324,0.96337,0.76797,0.7158,0.3831,1.39278,0.000166149,0.000166149,0.000166149
113,16351.6,0.37039,0.3297,1.13227,0.93214,0.9533,0.96291,0.76857,0.71567,0.38321,1.39313,0.000158667,0.000158667,0.000158667
114,16818.1,0.36617,0.33248,1.13201,0.93172,0.95242,0.96269,0.76751,0.71598,0.38293,1.39382,0.000151336,0.000151336,0.000151336
115,17286.9,0.37155,0.33227,1.13419,0.93338,0.95235,0.96354,0.76784,0.71603,0.38278,1.39434,0.000144161,0.000144161,0.000144161
116,17753.5,0.36212,0.33203,1.12561,0.9451,0.94187,0.96393,0.76843,0.71558,0.38211,1.39413,0.000137143,0.000137143,0.000137143
117,18221.6,0.36527,0.32802,1.12836,0.94633,0.94168,0.96379,0.76934,0.71551,0.38161,1.39507,0.000130287,0.000130287,0.000130287
118,18688.2,0.36274,0.3215,1.1272,0.93132,0.95531,0.96388,0.7693,0.71595,0.38162,1.3959,0.000123596,0.000123596,0.000123596
119,19156.4,0.36881,0.33246,1.1312,0.9492,0.94015,0.96302,0.76834,0.71679,0.38296,1.39635,0.000117072,0.000117072,0.000117072
120,19624.1,0.3692,0.32698,1.13235,0.94904,0.94009,0.9627,0.7684,0.71642,0.38352,1.3965,0.000110718,0.000110718,0.000110718
121,20090.7,0.36364,0.3317,1.12601,0.94431,0.94143,0.96274,0.76811,0.71632,0.38443,1.39651,0.000104537,0.000104537,0.000104537
122,20559.4,0.36236,0.32947,1.12323,0.94316,0.9408,0.96172,0.76811,0.71688,0.38508,1.39745,9.85311e-05,9.85311e-05,9.85311e-05
123,21025.8,0.36816,0.33048,1.12869,0.94626,0.94056,0.96133,0.76893,0.71695,0.38539,1.3976,9.2704e-05,9.2704e-05,9.2704e-05
124,21493.2,0.36961,0.33016,1.13096,0.94111,0.94315,0.96165,0.7685,0.71692,0.38605,1.39749,8.70577e-05,8.70577e-05,8.70577e-05
125,21959.7,0.36409,0.32703,1.12901,0.94295,0.94101,0.96157,0.76782,0.7166,0.38625,1.39729,8.15947e-05,8.15947e-05,8.15947e-05
126,22427.4,0.36598,0.33349,1.12694,0.94443,0.94087,0.96154,0.76792,0.71633,0.3872,1.39693,7.63174e-05,7.63174e-05,7.63174e-05
127,22894.6,0.36284,0.32201,1.12845,0.94505,0.94074,0.96159,0.76844,0.7163,0.38736,1.39667,7.12282e-05,7.12282e-05,7.12282e-05
128,23362.1,0.35926,0.32164,1.12759,0.946,0.94043,0.96186,0.76908,0.71641,0.38771,1.39678,6.63292e-05,6.63292e-05,6.63292e-05
129,23826,0.35937,0.32183,1.12226,0.94658,0.94033,0.96187,0.76843,0.71663,0.38783,1.397,6.16227e-05,6.16227e-05,6.16227e-05
130,24291.4,0.35798,0.32547,1.12055,0.94654,0.94029,0.96167,0.76812,0.71684,0.38795,1.39736,5.71106e-05,5.71106e-05,5.71106e-05
131,24756.4,0.36671,0.32554,1.13329,0.94647,0.94026,0.96157,0.7676,0.71691,0.38803,1.39734,5.2795e-05,5.2795e-05,5.2795e-05
132,25220.4,0.35724,0.32249,1.1209,0.94973,0.93857,0.96147,0.76754,0.71691,0.38844,1.39725,4.86777e-05,4.86777e-05,4.86777e-05
133,25685.9,0.36193,0.32393,1.12671,0.94975,0.93849,0.96141,0.76729,0.71694,0.38886,1.39732,4.47606e-05,4.47606e-05,4.47606e-05
134,26149.3,0.36078,0.31455,1.12506,0.94967,0.93844,0.96135,0.76824,0.71685,0.38907,1.3974,4.10454e-05,4.10454e-05,4.10454e-05
